(13320,1138)
(2609,1258)
(12639,1493)
(2116,1632)
(4727,1710)
(17218,1711)
(16280,2726)
(15911,3131)
(7625,3393)
(13275,3402)
(11478,3535)
(9847,4124)
(6617,4398)
(2230,4869)
(9636,4893)
(16837,4935)
(17160,5036)
(5793,5154)
(13175,5176)
(11092,5393)
(17271,5573)
(14667,5738)
(5032,5917)
(10452,6031)
(8729,6399)
(10213,6732)
(776,7178)
(12556,7247)
(8016,7410)
(12261,7599)
(12860,8121)
(11685,8414)
(9696,8691)
(5274,10093)
(2987,10108)
(6872,10256)
(4582,10363)
(3128,10415)
(16627,10474)
(12228,10932)
(1862,11868)
(9357,12051)
(14556,12622)
(5959,12631)
(1129,12664)
(1208,12696)
(7898,12948)
(2579,13010)
(5998,13040)
(8468,13062)
(16398,13132)
(11425,13334)
(1196,13593)
(14281,14140)
(85,14462)
(1931,14493)
(17879,15010)
(18403,15082)
(9977,15114)
(4551,15289)
(10930,15487)
(14841,15539)
(19847,15667)
(1519,15778)
(12769,15870)
(2203,15948)
(7168,16258)
(9092,16329)
(16119,16404)
(2145,16996)
(8248,17008)
(16472,17155)
(18326,17552)
(4790,17667)
(2975,18014)
(8677,18459)
(3100,18647)
(4068,18832)
(5659,18998)
(481,19338)
(15382,19572)
(14409,19889)
(2443,20214)
(15877,20260)
(449,20437)
(15449,20958)
(13678,20992)
(12956,21874)
(5286,22055)
(4500,22484)
(3288,22709)
(11867,22770)
(10914,23125)
(5034,23404)
(14426,23622)
(6988,23694)
(10663,23725)
(3905,23949)
(8627,23967)
(3699,24126)
(4580,24740)
(16857,24865)
(18944,25051)
(10766,25389)
(19852,26003)
(11278,26108)
(13118,27569)
(10121,27775)
(1687,27781)
(7264,27847)
(4046,28268)
(16540,28381)
(12140,28501)
(10753,28642)
(11056,28746)
(6861,29033)
(15354,29368)
(11860,29403)
(16302,29758)
(7756,30360)
(17660,30793)
(452,30808)
(10083,31020)
(365,31307)
(8175,31894)
(5864,32064)
(2314,32799)
(10383,32981)
(3555,32992)
(17914,33157)
(14332,33209)
(6421,33417)
(12269,33653)
(5844,33698)
(12635,33815)
(15538,33823)
(10733,33992)
(15202,34432)
(2041,34470)
(8454,34851)
(9760,34899)
(11436,35257)
(15005,35345)
(18022,36550)
(3999,36616)
(16858,36821)
(5591,36946)
(12188,37013)
(7416,37236)
(18626,37388)
(6413,37529)
(11642,37542)
(7738,37808)
(7328,37844)
(758,38030)
(3243,38409)
(1268,38506)
(5227,38542)
(13959,38841)
(18717,38941)
(9579,39243)
(2932,39711)
(11137,39840)
(7517,39886)
(14187,39933)
(16872,39966)
(2689,40023)
(14283,40137)
(11290,40233)
(16599,40302)
(19255,40440)
(11534,40641)
(5243,40649)
(13204,40740)
(4125,40922)
(8116,41767)
(10050,41816)
(18272,41878)
(16644,41957)
(5503,42606)
(4834,42633)
(10812,43095)
(19854,43177)
(18933,43226)
(10744,43251)
(5105,43266)
(6568,43307)
(8325,43462)
(19769,43485)
(8796,43623)
(1598,43668)
(10131,43764)
(11019,44679)
(14785,44684)
(3579,44768)
(5157,45327)
(5783,45467)
(8808,45523)
(9044,45782)
(11658,45847)
(4915,45913)
(9651,46093)
(5914,46689)
